"","Item","Team 10101Edutronic","Team 10102Ecotech Team 1202","Team 10103BeSmart","Team 10104Sonix","Team 10105TechTastic","Team 10106EduConnected","Team 10107Green Connection","Team 10108Team 1208","Team 10109FirstFuture","Team 10110 MD","Team 10111GeishaTech","Team 10112IGL","Team 10113Suture to Future","Team 10114BuzzNet","Team 10115Circle","Team 10116Happy Laps","Team 10117Green Wire","Team 10118YGTech","Team 10119Terra","Team 10120GreenTech","Team 10121PBS Laptops"
"301","NETBOOK_AMERIKA_PROCESSOR_KWALITEIT","3","3","3","3","3","4","3","3","3","3","3","4","3","5","3","4","3","3","3","3","3"
"302","NETBOOK_AMERIKA_MOEDERBORD_KWALITEIT","3","3","3","3","3","4","4","3","3","3","3","4","3","5","3","4","3","3","3","3","3"
"303","NETBOOK_AMERIKA_GEHEUGEN_KWALITEIT","3","3","3","3","3","4","4","3","3","3","3","4","3","5","3","4","3","3","3","3","3"
"304","NETBOOK_AMERIKA_HARDDISK_KWALITEIT","3","3","3","3","3","4","3","4","3","3","3","4","3","5","3","4","3","3","3","4","3"
"305","NETBOOK_AMERIKA_VIDEOKAART_KWALITEIT","3","3","3","3","3","4","3","3","3","3","3","4","3","5","3","4","3","3","3","4","3"
"306","NETBOOK_AMERIKA_MONITOR_KWALITEIT","3","3","3","3","3","4","3","4","3","3","3","4","3","5","3","4","3","3","3","3","3"
"307","NETBOOK_AMERIKA_VOEDING_KWALITEIT","3","3","3","3","3","4","3","3","3","3","3","4","3","5","3","4","3","3","3","4","3"
"308","NETBOOK_AMERIKA_BEHUIZING_KWALITEIT","3","3","3","3","3","4","3","4","3","3","3","4","3","5","3","4","3","3","3","3","3"
"309","NETBOOK_AZIE_PROCESSOR_KWALITEIT","3","3","3","4","3","3","3","3","4","3","3","3","3","5","3","4","3","3","5","3","4"
"310","NETBOOK_AZIE_MOEDERBORD_KWALITEIT","3","3","3","4","3","3","3","3","4","3","3","3","3","5","3","4","3","3","5","3","4"
"311","NETBOOK_AZIE_GEHEUGEN_KWALITEIT","3","3","3","4","3","3","3","3","4","3","3","3","3","5","3","4","3","3","4","3","4"
"312","NETBOOK_AZIE_HARDDISK_KWALITEIT","3","3","3","4","3","3","3","3","4","3","3","3","3","5","3","4","3","3","5","3","3"
"313","NETBOOK_AZIE_VIDEOKAART_KWALITEIT","3","3","3","4","3","3","3","3","4","3","3","3","3","5","3","4","3","3","4","3","3"
"314","NETBOOK_AZIE_MONITOR_KWALITEIT","3","3","3","4","3","3","3","3","4","3","3","3","3","5","3","4","3","3","4","3","5"
"315","NETBOOK_AZIE_VOEDING_KWALITEIT","3","3","3","4","3","3","3","3","4","3","3","3","3","5","3","4","3","3","5","3","3"
"316","NETBOOK_AZIE_BEHUIZING_KWALITEIT","3","3","3","4","3","3","3","3","4","3","3","3","3","5","3","4","3","3","4","3","3"
"317","ECOBOOK_EUROPA_PROCESSOR_KWALITEIT","3","3","3","4","3","4","3","3","3","3","3","3","3","5","4","3","3","3","5","3","4"
"318","ECOBOOK_EUROPA_MOEDERBORD_KWALITEIT","3","3","3","4","3","4","4","3","3","3","3","3","3","5","4","3","3","3","5","3","4"
"319","ECOBOOK_EUROPA_GEHEUGEN_KWALITEIT","3","3","3","4","3","4","4","3","3","3","3","3","3","5","3","3","3","3","4","3","4"
"320","ECOBOOK_EUROPA_HARDDISK_KWALITEIT","3","3","4","4","5","4","3","3","3","3","3","3","3","5","3","3","3","3","5","4","3"
"321","ECOBOOK_EUROPA_VIDEOKAART_KWALITEIT","3","3","3","4","3","4","3","3","3","3","3","3","3","5","3","3","3","3","4","4","3"
"322","ECOBOOK_EUROPA_MONITOR_KWALITEIT","3","3","3","4","5","4","4","3","3","3","3","3","3","5","3","3","3","3","4","3","5"
